Sample.ID,Organism,habitat,Org_Mor,Population_geo,R.S.,Climate,region_16S,lat,long,month,year,origin,swab,tm_max,tm_min,pre,elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,BIOME,ECO_NAME,Family,Study,pielou_evenness,faith_pd,observed_features,shannon_entropy,Sample_id
515rcbc83_ER8415_S83,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.464945131,46.66600906,81,2.947682388,SRR23105274
515rcbc84_ER8415_S84,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pa,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.224446579,27.13402812,47,1.246708465,SRR23105273
515rcbc85_ER8415_S85,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pa,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.601095657,65.95417378,151,4.350973654,SRR23105272
515rcbc86_ER8415_S86,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pa,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.763061068,90.19181985,222,5.947615299,SRR23105271
515rcbc87_ER8415_S87,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.819731277,117.5184778,316,6.806868794,SRR23105270
515rcbc88_ER8415_S88,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.56150601,78.02291629,169,4.155638279,SRR23105269
515rcbc89_ER8415_S89,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.54113191,66.72789549,146,3.890643497,SRR23105268
515rcbc90_ER8415_S90,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.394194486,61.23235165,110,2.67317461,SRR23105267
515rcbc91_ER8415_S91,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.570397855,82.95038522,179,4.26875247,SRR23105266
515rcbc92_ER8415_S92,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.530632088,77.8320724,169,3.927144109,SRR23105265
